"google-public-dns-a.google.com","8.8.8.8"
"dns.as250.net","194.150.168.168"
"rs2.ststelecom.com","216.106.184.6"
"dns2.295.ca","208.79.56.204"
"66-163-0-173.ip.tor.radiant.net","66.163.0.173"
"66-163-0-161.ip.tor.radiant.net","66.163.0.161"
"tor-dns-recursive.primus.ca","216.254.141.2"
"hub.ubc.ca","137.82.1.1"
"resolv-f.dtag.de","194.25.0.68"
"ns2.pacific.net.hk","202.14.67.14"
"dns01.ntts-idc.net.sg","202.136.162.11"
"ns1.lon.pnap.net","212.118.241.1"
"cache0000.ns.eu.uu.net","158.43.128.72"
"ns2.lon.pnap.net","212.118.241.33"
"cache0004.ns.eu.uu.net","158.43.240.4"
"ns1.lax.pnap.net","216.52.254.1"
"slimer.isphone.net","69.54.70.15"
"ns1.acs.pnap.net","64.94.1.1"
"ns1.sef.pnap.net","63.251.161.1"
"edelta2.DADNS.america.net","69.60.160.203"
"dns1.nyc.dns-roots.net","208.78.24.238"
"cache01.ns.witopia.net","216.93.191.228"
"dns01.sjc01.acndigital.net","8.5.244.5"
"ns2.lax.pnap.net","216.52.254.33"
"ns2.pnap.net","206.253.194.97"
"ns2.chg.pnap.net","64.94.33.33"
"ns1.chg.pnap.net","64.94.33.1"
"a.resolvers.level3.net","4.2.2.1"
"b.resolvers.Level3.net","4.2.2.2"
"c.resolvers.level3.net","4.2.2.3"
"d.resolvers.level3.net","4.2.2.4"
"e.resolvers.level3.net","4.2.2.5"
"f.resolvers.level3.net","4.2.2.6"
"ns2.sprintlink.net","199.2.252.10"
"ns3.sprintlink.net","204.97.212.10"
"ns1.sprintlink.net","204.117.214.10"
"cns1.cw.net","141.1.1.1"
"mail.lkrauss.de","213.239.204.35"
"dns-muc.de.ignite.net","62.134.11.4"
"resolv-l.dtag.de","194.25.0.52"
"ns2.scan-plus.de","212.211.132.4"
"","213.68.194.51"
"","195.243.214.4"
"euro-cns1.cw.net","141.1.27.249"
"dns03.che.dt-internet.de","80.237.197.14"
"ns.leitwerk.net","217.28.98.62"
"bandit.probe-networks.de","82.96.64.2"
"trance.probe-networks.de","82.96.65.2"
"resolv-h.dtag.de","194.25.0.60"
"ns.LF.net","212.9.160.1"
"cache0702.ns.eu.uu.net","193.101.111.10"
"cache0703.ns.eu.uu.net","193.101.111.20"
"cache0701.ns.eu.uu.net","192.76.144.66"
"dns2.bluewin.ch","195.186.1.111"
"ns1.nyc.pnap.net","209.191.129.1"
"ns1.bhi.com","216.185.192.1"
"cva1.cableonline.com.mx","200.95.144.3"
"dns4.bluewin.ch","195.186.4.111"
"dns3.bluewin.ch","195.186.4.110"
"cva2.cableonline.com.mx","200.95.144.4"
"dns1.jfk.gblx.net","64.212.106.84"
"ns2.phi.pnap.net","216.52.65.33"
"ns1.sfo.pnap.net","63.251.62.1"
"rbs1.globalcenter.net.au","203.89.226.24"
"mdbs2.globalcenter.net.au","203.89.226.26"
"dns2.technorail.com","62.149.132.2"
"ns1.bsn.pnap.net","63.251.129.1"
"ns1.chi.pnap.net","216.52.129.1"
"ns2.sef.pnap.net","63.251.161.33"
"ns1.globalsat.net","216.147.131.33"
